origin,destination,departure_date,collection_date,advance_window_days,total_fare_inr,base_fare_inr,taxes_inr,udf_inr,convenience_fee_inr,carrier,flight_number,depart_time_local,fare_class,source_portal
BLR,HYD,2026-09-09,2026-09-08,1,17033.0,14904.0,2129.0,,,QP,QP1359,05:00,EC,akasa
BLR,HYD,2026-09-09,2026-09-08,1,17833.0,15666.0,2167.0,,,QP,QP1359,05:00,AV,akasa
BLR,HYD,2026-09-09,2026-09-08,1,18607.0,16404.0,2203.0,,,QP,QP1821,13:10,EC,akasa
BLR,HYD,2026-09-09,2026-09-08,1,19407.0,17166.0,2241.0,,,QP,QP1821,13:10,AV,akasa
BLR,HYD,2026-09-09,2026-09-08,1,19807.0,17546.0,2261.0,,,QP,QP1823,06:05,EC,akasa
BLR,HYD,2026-09-09,2026-09-08,1,20607.0,18308.0,2299.0,,,QP,QP1823,06:05,AV,akasa
BLR,HYD,2026-09-15,2026-09-08,7,16568.0,14461.0,2107.0,,,QP,QP1811,04:10,EC,akasa
BLR,HYD,2026-09-15,2026-09-08,7,17368.0,15223.0,2145.0,,,QP,QP1811,04:10,AV,akasa
BLR,HYD,2026-09-15,2026-09-08,7,16568.0,14461.0,2107.0,,,QP,QP1359,05:00,EC,akasa
BLR,HYD,2026-09-15,2026-09-08,7,17368.0,15223.0,2145.0,,,QP,QP1359,05:00,AV,akasa
BLR,HYD,2026-09-15,2026-09-08,7,17033.0,14904.0,2129.0,,,QP,QP1821,13:10,EC,akasa
BLR,HYD,2026-09-15,2026-09-08,7,17833.0,15666.0,2167.0,,,QP,QP1821,13:10,AV,akasa
BLR,HYD,2026-09-15,2026-09-08,7,17823.0,15658.0,2165.0,,,QP,QP1823,06:05,EC,akasa
BLR,HYD,2026-09-15,2026-09-08,7,18625.0,16420.0,2205.0,,,QP,QP1823,06:05,AV,akasa
BLR,HYD,2026-09-23,2026-09-08,15,16568.0,14461.0,2107.0,,,QP,QP1811,04:10,EC,akasa
BLR,HYD,2026-09-23,2026-09-08,15,17368.0,15223.0,2145.0,,,QP,QP1811,04:10,AV,akasa
BLR,HYD,2026-09-23,2026-09-08,15,16568.0,14461.0,2107.0,,,QP,QP1359,05:00,EC,akasa
BLR,HYD,2026-09-23,2026-09-08,15,17368.0,15223.0,2145.0,,,QP,QP1359,05:00,AV,akasa
BLR,HYD,2026-09-23,2026-09-08,15,16568.0,14461.0,2107.0,,,QP,QP1823,06:05,EC,akasa
BLR,HYD,2026-09-23,2026-09-08,15,17368.0,15223.0,2145.0,,,QP,QP1823,06:05,AV,akasa
BLR,HYD,2026-10-08,2026-09-08,30,16418.0,14319.0,2099.0,,,QP,QP1811,03:55,EC,akasa
BLR,HYD,2026-10-08,2026-09-08,30,17218.0,15081.0,2137.0,,,QP,QP1811,03:55,AV,akasa
BLR,HYD,2026-10-08,2026-09-08,30,16418.0,14319.0,2099.0,,,QP,QP1359,05:00,EC,akasa
BLR,HYD,2026-10-08,2026-09-08,30,17218.0,15081.0,2137.0,,,QP,QP1359,05:00,AV,akasa
BLR,HYD,2026-10-08,2026-09-08,30,16418.0,14319.0,2099.0,,,QP,QP1823,06:05,EC,akasa
BLR,HYD,2026-10-08,2026-09-08,30,17218.0,15081.0,2137.0,,,QP,QP1823,06:05,AV,akasa
BLR,HYD,2026-10-08,2026-09-08,30,16418.0,14319.0,2099.0,,,QP,QP1821,13:05,EC,akasa
BLR,HYD,2026-10-08,2026-09-08,30,17218.0,15081.0,2137.0,,,QP,QP1821,13:05,AV,akasa
BLR,HYD,2026-10-23,2026-09-08,45,18153.0,15972.0,2181.0,,,QP,QP1811,03:55,EC,akasa
